d,u,t,b
"10.10.2012, 21:53",simon_ch,[Schaffhausen] 160cm bed slats (1 pc),"Give away nice 160cm wide bed slats (compatible with Ikea mattresses) 
Not the usual 2x80cm slats but one big one. Has to be picked up in Schaffhausen"
"20.11.2012, 12:08",zlatan,Couch for free,"Hi all, 
Since I move from Zurich, I have a nice couch to give away. For free.
Its in a very good condition. 
Here are attached photos. 
I live at Oerlikon. 
Thanks."
"21.11.2012, 15:12",roseborough,Free Besta Framsta wall unit in Oerlikon,"has to go by Sunday night, if you want it come get it.http://www.flickr.com/x/t/0092009/ph...7631636443485/"
"27.10.2012, 15:41",slapacka,Grill - One year old (Luzern/Lucerne),"Black charcoal grill.  One year old.  Please see picture.  First come, first serve.  
Please PM if interested.  Pick up in  Merlischachen (10 minutes from  Luzern.  Thank you!"
"21.11.2012, 11:00",SwissMs2000,Free Coop Stickers,I have 16 not stuck to a sheet if someone is collecting them. Happy to send them off if you send me a self addressed stamped envelope.
"15.11.2012, 10:11",aus_ch,Free Sofa,"FREE!
2 pieces angle sofa in good condition, in suede finish.
To collect ASAP in Seuzach, 4km from Winterthur.
(no stairs)"
"20.11.2012, 23:30",anjulie,2 Tickets for Twilight Breaking Dawn Part 2  ZH tomorrow,"Hi, 
just won two tickets but have plans for tomorrow. 
Please PM if interested, first come first serve. 
The show starts 20.30, doors open 20.00 and tickets are not with seat numbers. 
Cinema is Metropol in Zurich"
"05.04.2010, 15:04",Castro,[Basel] Sony DAV SB-100 home theatre system,"Going to be selling a lot more stuff over the coming weeks as we are downsizing to a much smaller apartment 
Anyway, I have for sale today a Sony DAV SB-100 home theater system with 5 surround sound speakers + a nice meaty subwoofer. It plays audio CDs, DVDs, MP3s etc.. and its got an FM RDS tuner. Its several years old but works perfectly. The only issue is that I've misplaced one of the 5 sets of speaker leads, which I'll hopefully find once I rummage about in the cellar, but if not any speaker wire will do the trick. So who'll give me CHF 110? (collection from Basel preferred)"
"20.11.2012, 14:40",miss_bean,couch for free. Dietikon,couch for free
"18.11.2012, 12:32",ashi_queen,"for free vacuum cleaner,plates","Hi all
i live in zurich zone 21 i have some stuff to give for free
vacuum cleaner
crockery plates and bowls."
"20.11.2012, 16:15",hornetzoo,Wanted: Moving boxes [zurich],I'm looking for any free or inexpensive boxes. I live in Kreis 6.
"18.11.2012, 14:30",Spellbound,Wanted in Basel Moving Boxes,"Hey there,
Please let me know if you have moving boxes you no longer need, or don't need temporarily for a day or 2. They are needed for an apartment move within Basel. Up to 10 would be great, but any amount is a help.
Kind Regards."
"22.10.2012, 14:27",kxandra,For free: ~50 Moving boxes (Basel),"Hello, 
we just moved to St. Louis and have around 50 Banana boxes from Coop.
we'll store them in the cellar, at our former apartment in Basel until October 30th.
PM us if interested
Cheers
kx'"
"14.11.2012, 08:41",ashi_queen,"For free bed with matteress,cupboard","Hi all 
i live in zurich as i am moving i have some stuff to give it for free
one queen size bed with matteress (wooden)
one two door cupboard
5 plastic chairs
one single bed matteress
will post pics soon if interested pm me."
"10.11.2012, 18:52",NewOneINseefeld,"(FREE) For baby: Viburcol, Lactose and teether (ZH)","Pick up in Seefeld, 8008 ZH.
For babies:
- Viburcol N: homeopathic medicine, suppositories (full box, exp: 12, 2012)http://www.modernhomeopathicproducts.co.uk/Viburcol-N
- ""MAM"" oral care teether PINK rabbit- teeth and brushing: washable! - used only once but washedhttp://www.babycity.co.uk/mam-oral-c...t-pd-3833.html
- ""Morga"" Bio Lactose (milk sugar): 500 gr, for babies and breastfeeding mothers (used 2-3 times, exp. 23.12.2012)http://www.morga.ch/pages/en/product...471/01201.html
Thanks!"
"20.11.2012, 11:20",Wisc,Free Furniture - must go today 20.11.2012!,"Due to my move, I must get rid of a few more things TODAY.  Tomorrow afternoon they will have to be thrown away. 
Ignore the prices listed, everything is FREE!  You just need to pick them up today.
In addition, I have plates and drinking glasses as well as a single bed with solid wood frame.http://www.pixum.de/meine-fotos/#album/6438707"
"18.11.2012, 18:06",nellie123,FREE adjustable weightlifting set [ZURICH],"Giving away following adjustable weightlifting set.http://img690.imageshack.us/img690/1...ov18153156.jpg
Please PM for reservation and pick up details."
"16.11.2012, 19:18",Suhair,buggyboard-basel,"Lascal buggyboard Maxi- good condition. 
 free but good bottle of red italian or french would be appreciated :-)"
"19.11.2012, 18:09",ashi_queen,For free computer table and chair,"Hi all
i have this wooden computer table and adjustable height chair to give away.
I live in zurich zone 21.please pm if interested.
First come first serve."
"12.11.2012, 11:06",Serbanna,( Conditionally ) IPhone4 for free! ( takeover of contract ),"Hi there, 
I have  IPhone4 in great condition, with sunrise Flat4 contract for 1 year from now, and very special Number.  
If you wanna have it, please let me know via PM ( Private Message ), Zurich area to pick it up.
It's free!"
"19.11.2012, 00:48",Leslie Anne,Free couch and coffee table [Zug],"I am feeling a bit cramped in our narrow flat and looking to give away two beloved furniture items to anyone who is able to pick them up:
A well loved dark wood coffee table from Weylandt's in South Africa
An even more loved beige couch.  NOTE that the couch is on the second floor and will need to exit via the outside balcony.  You will require 3 or 4 rugby players to accomplish this feat. (That is how we got it in.)
Pictures in my previous post: http://www.englishforum.ch/sale-want...table-zug.html 
Please PM me if interested.
Thank you and look forward to meeting those rugby players..."
"07.03.2012, 23:00",ecb,Free - All the wood you can chain saw,"So, this is one of the weirder ones I have offered ..
We own some land in Delémont and visited it today to discover that some kind farmer (we think ..) has dumped about 6 tree trunks and large branches on the land (trunks are about 40cms in diameter so not huge but not small either)
Before we arrange for this to be disposed of, if anyone has a chain saw and fancies some firewood, do let me know and I will point you in the right direction"
"17.11.2012, 19:13",Suhair,Dining table - Basel,"Dining table from interio.
Heavy solid wood - reasonable condition few scuffs & scratches but still life left in it.
Needs to be picked up within the next week - can offer help with transport in exchange for wine:-)"
"04.11.2012, 17:55",nellie123,Free IKEA bookcase [ZURICH],"EXPEDIT Shelving unit WHITEhttp://www.ikea.com/gb/en/catalog/pr...646/#/80208652
Width: 185 cm
Depth: 39 cm
Height: 185 cm
Two small damages/holes, one on each side, please see picture:http://img715.imageshack.us/img715/450/bookcase.jpg
Please PM for reservation."
"05.07.2012, 21:32",valiant,FREE - Sofa Set & Cloths Drawer- Immediate pick up in Adliswil,"Very good condition Sofa set and Cloths drawer available for immediate pick up in Adliswil Zurich. Both are free.
Please PM me if you are interested."
"17.11.2012, 19:16",Suhair,Dining Chairs - Basel,"6 old dining chairs.
Very heavy & solid wood, ladder backed, leather seats. 
Must be collected in the next week - can help with transport in exchange for wine:-)"
"10.11.2012, 11:31",Laureano,"TV Sony Trinitron 28""","Hi People, 
I have an old Sony Trinitron 28"" (Model: KV 28 FC60) TV set. It is  analog, but has an amazing sound, I have to say. It functions quite  well.
I would certainly prefer to give it away if someone needs it, instead of having to dispose it.
I am located in ZH, Wipkingen.
Best
L."
"15.11.2012, 09:46",Suhair,Slide / swing set - Basel,"We have a wooden slide & swing set (2 swings included + baby swing available) available for anyone willing to collect.
We are moving in a couple of weeks and do not plan to take this with. 
We will be dismantling this weekend so if anyone wishes to help they are welcome to take the set.
It is just over a year old (Sept 2011) and in good condition - very solid wood.
Metal spikes Fence posts) are also included as we used these to stablise instead of concrete!"
"19.08.2012, 10:59",miss_bean,small sofa for takeaway,area of pick up: dietikon
"15.11.2012, 15:05",Nadine Playball,Free English Paperbacks,"I have a box full of books that I have read and would like to give away. A mix of paperbacks in English. Any suggestions of a charity that might want them or if anyone would like to have a look and help themselves to what they would like, please contact me. We live in Lachen, Schwyz.
Cheers
Nadine"
"16.11.2012, 10:29",abzurich,Free furniture Basel but must go immediately,"We thought that it would be good to donate our remaining furniture to the Brockenhaus but found out this morning after the guys came that they do not want office furniture or Ikea (even though the woman on the phone 3 weeks ago said it was fine  ) So, now we should leave in a few days and have a lot of remaining furniture.  If anybody wants any of it, it's yours. First come, first serve basis. But it should go today or Monday at the latest (but we need confirmation today or we will dispose of it tomorrow morning).
Also available but not pictured: desk, small side table, white coffee table, futon (all ikea and in good condition)"
"24.10.2012, 18:09",IzabelaInZug,Free wooden bed frame in Zug,"I have a double bed frame with mattress to give away for free. Mattress is too soft for me and I should not be using it with my back issues but maybe someone else would like it this way. 
It gets much better with a mat that you can get in IKEA, I already have such mat as I am using it for massage therapy now but I and can add it to the deal so you can have both. I also should buy proper massage therapy mattress, foldable one that comes with a bag so I can roll it and put away if I don't need it.  The one from IKEA that I am using now (it fits the mentioned bed/mattress perfectly) is not foldable so I will be happy to give away both.
Picking up in Zug, Kolinplatz."
"15.11.2012, 22:12",jkanwal,2 Free TV-Cabinets,"two IKEA tv-cabinets with 4 drawers (in picture you can see 1 only set). 
pick up from Glattpark - preferably this weekend/next week.
PM me if you are interested."
"15.11.2012, 19:30",everyday-a-new-dress,Free in Baden：Pregnant clothes,"Please pickup within a week.
Please click ""thank-you"""
"15.11.2012, 19:42",everyday-a-new-dress,Free DVD movies,"August Rush 
Becoming Jane
Terminal 
Rouge
Kung fu panda
Gloomy Sunday
Mond
Pick-up within a week, please post a thank-you note"
"15.11.2012, 13:19",slapacka,Thomas the Tank Engine Stuff - Luzern,"Large set of Thomas the Tank Engine train tracks.  Works with all electronic Thomas trains.  Comes with Colin the Crane too.
4 Thomas the Tank Engine movies in English.
Thomas the Tank Engine ""shoelace biters"".
Free if you collect in Merlischachen (10 minutes from Luzern.  I will only have these for about five days before I donate them to the broken house, but I thought an English speaking child might appreciate them.  PM me if you want them.  Thanks."
"15.11.2012, 13:20",slapacka,Baby Bjorn - Luzern,Black baby bjorn in good condition.  Free if you collect before I donate it to the broken house.  PM if interested.  Thanks.
"15.11.2012, 12:42",solguden25,For Free: various items,"Hello,
Below are various items for free.
Please PM for any questions.
I can meet at the HB in zurich for delivery.
Thanks
solgudenhttp://www.flickr.com/photos/8778273...7632012586391/
Thank you!!"
"11.11.2012, 11:41",Phillip8134,[For free] Green bio box (Adliswil),For storage of bio waste.  Free for anyone who want it.  We have one in our new apartment.
"11.11.2012, 11:58",Phillip8134,[For free] Cutlery stand (Adliswil),Bought in Ikea.  Do not need I new apartment.  Free.
"11.11.2012, 12:13",Phillip8134,[For free] Ikea decoration bowl (Adliswil),"Condition is like new, for free"
"14.11.2012, 18:49",gtrob,2-seat couch bed thing - Ikea Solsta,"It's this:http://www.ikea.com/ch/de/catalog/products/10087106/
Fully assembled, like-new condition, pick up in Baden (~15 min from ZH).
Bottle of cheap wine as payment is optional."
"12.11.2012, 15:24",evianers,Wanted - IELTS literature to Level 6,"If anyone is throwing away books, pamphlets, prospectuses on IELTS examinations [but not in German as this is for a Francophone student] please contact us by private email to arrange postage. TIA"
"12.11.2012, 13:42",Magpie,Free - Kettler Cross Trainer,For free if you pick up in Binningen:Kettler cross trainer machine with heart rate monitor - similar to the one in the photo below.PM me for any further details
"11.11.2012, 20:04",page0144,"Free: desk and desk chair, in Zurich","I am offering a free desk and desk chair, in Zurich. They have been used, but are in good condition. You must arrange for pick-up. Photos can be found here: https://plus.google.com/photos/10238...Pi8vqC-4svyyQE
Please PM me if you're interested."
"11.11.2012, 12:06",Krishpy,"Free Vase, desk lamps open house near Schwamendingen Zurich","Hello all, 
we are moving out and are giving away some ikea desk lamps and vases (tall and wide), rugs, and some kitchen items for free.
Sorry, pictures are not available. But we have an open house today and most of this week (evenings or daytime). 
Please PM / call / come by.
we are not far from Schwamendinger platz and 4mins walking to teh closest 
public transport.
Best,
K"
"09.11.2012, 18:07",Andrew9039,Free armchair and coffee table - Dietikon,"I'm giving away an armchair and a small wooden coffee table. Pickup from Dietikon. The chair is in good condition but the table could do with rewaxing, unless you want it for firewood 
table dimensions are 45x95cm and 46cm high."
"11.11.2012, 14:22",bglrka,[Free] Couch [near Basel],"I have a light green couch to give away. I got it from EF appr. a year ago, and now we don't have enough space in our living room for it anymore.
It's in good condition and comfortable - even for sleeping!
200cm x 80cm x 80cm (40 cm seat height)
Pick up near Basel, in Weil am Rhein.
If you are interested PM me."
"27.10.2012, 14:31",chaynerose,"( Now FREE ) tv rack,cabinet,center table","We are selling some of our furnitures all  in good condition  
Center Table for 30
TV Rack for 40
Big Cabinet for  100
ASAP 
Weve got a new one to replace it PM me if interested.
We donot have lift for info."
"10.11.2012, 12:31",tvlgypsy,2 Zurich Auto Show tickets- FREE (ZH),"due to illness, we are not able to use the 2 Zurich Auto show tickets we have.  They are good through Sunday for free entry.
We are in Zumikon and can leave them in our 'mailbox' for pickup if any one wants them."
"10.11.2012, 11:29",Odile,Free children ski passes for Adelboden-lenk,"Got a voucher for free ski passes for children for Adelboden-lenk. Two children can go free if one adult buys a pass, or 4 children free for 2 adults buying pass (must be for the whole area). Valid for 14-27 January, and 11 March to end of season.
As I live too far away to use them - would be happy to post to the first family who sends a pm."
"06.11.2012, 23:43",pmartins,wanted any ms word or office CD,"Hi Everyone,
I was wondering if anyone would love to give me there version of MS Word or MS Office. I doesnt matter how old it is. Please PM me if you would be a dear and donate this computer program.
Peter"
"09.05.2012, 13:50",anowheels,[Free] Car Hot Water Maker [Zurich],"I bought this, but don't need it: http://www.amazon.com/DESIGN-GO-CAR-.../dp/B003G6DDOA - it is a small hot water maker that hooks up to a car outlet (I thought I was buying one for a regular outlet and didn't read closely at amazon.de). 
It is no longer in the package but has never been used.  It comes with two small cups, is dual voltage, and holds about 2 cups (less than .5 L) of liquid.  I paid 30.15 EUR with shipping from amazon.de - I could sell it for 15 CHF?  Would rather you pick up or I bring to you somewhere in the Zurich area, rather than posting it."
"08.11.2012, 20:17",atchieu,"Ikea under the sink vanity cabinet (Limmatplatz, Zürich 8005)","If interested, please PM us."
"07.11.2012, 17:09",atchieu,"Free dry hanging rack, bar stools, bar table and 2 lamps (Limmatplatz, Zürich)","Hi there,
If interested, PM us."
"04.11.2012, 09:33",swisspea,Vegemite,"Anyone want a tube of vegemite ?
Due to a recent influx of Aussie visitors, we have more than enough for our modest household of minimal vegemite consumers...
PM me if you'd like a 145g tube posted to your place"
"08.11.2012, 20:11",atchieu,"Black IKEA shelving (Limmatplatz, Zürich 8005)","If interested, please PM us.
Thanks!"
"06.11.2012, 00:09",Johnah,Free bed frame [Zürich],"Hi, 
I am giving away this bed frame. It is very good quality and has some wear as shown in the picture.
It is single size (~100cm).
PM me for more info or to arrange  the pick up.
Regards,
Johnah"
"16.10.2012, 22:00",Girl in Basel,[Wanted] Desk &/or chest of drawers [Basel],"Hi,
I'm a student who has just moved to Basel, and instead of buying all my furniture, I always enjoy anything secondhand.  I live within 1 minute walk to Basel SBB and have no car.  But I have friends that can help me with picking up any furniture.  I am after:
- a desk (& chair)
- chest of drawers
- clothes rack
- small table, coffee table
I am also after a small fishtank and setup, eg. filter, lights, heater etc... 
If you need to get rid of any of the above, please contact me. 
I am also willing to pay for the above things, but am a poor student, so for only a minimal fee"
"07.11.2012, 13:27",Geordiegirl,Free - bed frame in Zug.,"We have a wooden bed frame to give away. 
It's in good condition, swiss made and it takes a mattress size 120 x 200cm which I think is the size between single and double...  Slats are included, Mattress is not. 
Pick up from Zug."
"06.11.2012, 22:32",zymogen,1 hiking pole,"My hiking pole lost his companion and looks forward to be united with a new pole-friend. He likes to be taken to the great outdoors but is also a handy poking device in crowded places. 
Free for pick up in Lausanne."
"21.10.2012, 20:03",laura123,wanted:free or cheap baby items (Zurich),"Hello, I have a friend with a baby girl due in December. She already has a crib and stroller but not much else so far and asked if I could look on the forum. Please PM me if you are looking to unload any of your unwanted items. I live in Zurich area and will pick them up by car. Thank you very much"
"04.11.2012, 23:48",Andrew9039,Free Wooden Workbench,"I'm giving away a wooden L-shaped workbench/table. I didn't take a photo until after I disassembled it, but you get the idea from the photo 
It is extremely sturdy, the table is 1½"" thick and the legs are steel, so might be ideal for a cellar or shed, etc.
Location is Dietikon and I could deliver nearby, pm for details."
"16.02.2012, 22:28",jmf,Badminton rackets ( Now FREE ),"Selling a pair of Active badminton rackets. Used but in good condition. One comes with an ""aftermarket"" grip.
Price 20chf ono for both."
"05.11.2012, 16:30",esto,Free Sofa [Bern],"Free sofa, white corner-type (""L"" shaped), about 4 years old, decent condition.
If anyone is interested, I can take some pictures and e-mail them to you.
Would like to have it gone by the end of the week, as a new sofa is on it's way. (We moved apartments and this old one doesn't fit)"
"04.11.2012, 14:43",Pather,Free Sofa / Sofa bed,"Free Sofa / Sofa bed
160/80/90cm
in good condition, no tears or worn out spots.
Pick up, in Wernetshausen ZH, 8342"
"05.11.2012, 11:08",timpy,Free CrossTrainer,"Hi,
We have a cross trainer to give away in Zürich area for free since we took it second-hand from someone else. If anyone interested then kindly contact."
"25.10.2012, 16:29",chill_lee,free voucher for 30 Minute Fish Pedicure at Natural Fish Spa in Geneva,"I have a voucher that I won't be able to use. It's value 65,- I will give it for free.  I already have an appointment for Saturday 27 Oct at 4 pm, but you can  call them to reschedule another appointment if the date doesn't suit  you.
The address is Rue du Tir, 1 bis
1204, Geneva
Tel: 022 557 45 55
It expires on 7th Nov, so you still have some days left to enjoy the deal.
contact me if you are interested"
"28.10.2012, 15:17",Rangatiranui,"Free Sofa, approx  220cm x 250 cm, pick up near Baden","With matching chair.
Has wear and tear, but no rips.
Sofa breaks down into 3 parts, but even then they are quite large.
Must be picked up near Baden."
"03.11.2012, 18:15",jmf,HDMI 1.4a cable,"I've bought a HDMI 1.4a cable recently from ebay and it doesn't work...properly. By this I mean the picture is too sharp (colors and everything) and there is some noise. As it's a digital cable it should either work perfectly or not at all, as far as I know. The seller was similarly perplexed.
I'm giving it away for free in case anyone wants to try it and it works for him/her. It may very well work and the fault could lie in some kind of incompatibility with my equipment.
What's even stranger is the cable looks really professional (well, compared to the other hdmi cables I have)."
"28.08.2012, 08:55",Rangatiranui,Ikea childrens wooden chairs. Free. Pick up near Baden.,"Hi.
I have 3 chairs and a bench seat to give away. Suitable for 1-5 yr olds. They are also strong enough to hold me, and i'm not light 
There is also a table that goes with it, covered in blackboard paint, so that kids can draw all over it with chalk.
This has been taken apart and is buried in the basement at the moment.
They are in ""used"" condition, with one chair having the plastic animal broken out (as seen in picture), but otherwise fine.
Dont even think about asking me to post this, i am not as sweet or nice  as CaviarChips."
"03.11.2012, 16:51",Riana22,Small-sized carpet,"Hi everyone,
If any of you has a small-sized carpet (any color except for yellow, orange or green) to spare, please PM me or post on this thread. 
Thank you in advance."
"13.10.2012, 17:34",jbd,"Free furniture (tables, desk, bed, wardrobe, balcony set) [Zurich]","Hi All,
I'm moving away and give the following for free, pick up near Lochergut / Idaplatz in Zürich, from tomorrow Sunday 14.10 (all day) until the end of the month (in the evenings from 19:00). Please email me or post here if you are interested:
- bed Ikea Sultan Sturefors still available. 200cm x 160cm, it's a bed that doesn't require mattress, I use just a very thin sheet / übermatraze.
- nice wardrobe, heavy but can be dismantled (I carried it in with a normal zurich taxi)
- Ikea desk
- Ikea table with 6 drawers and the 2 sides foldable
- another small folding table, painted dark blue
- balcony table with 2 chairs
- bed frame 90cm
- barbecue, bicycle box (the carboard one to take a bike in an airplane, unused), 2 wooden home-made benches that can open and store things inside (you might be interested if you live in a small flat, or to take the wood and build something else), desk chair with wheels."
"28.10.2012, 09:40",jbrady,National Geographic - English version,"I have been collecting National Geographic magazines for the last 6-7 years.
I will be moving to a smaller place soon, so if anyone would like these, just PM me to arrange to pick them up for free in Schinznach Bad, Kanton Aargau."
"30.10.2012, 08:47",pwiese,Free cupboard - ZRH,"Hello everybody,
I am giving a cupboard away:
Ramberg wardrobe (cherry wood, no longer on website), bottom on lower drawer is slightly damaged - dissassembled and ground floor.http://www.productreview.com.au/p/ikea-ramberg-1.html
Let me know!!
Regards"
"28.10.2012, 18:36",smoky,Free - Box Files,"We have masses of used LEVER ARCH files, in colours of red, blue, green, some yellow.   Those with the steel thingy inside to hold the perforated pages. +- 40x.   Plus a few boxes of unused ones.
Good condition, like new.  
Must be fetched. 
(Otherwise we`ll just detroy them, somehow, not easy, but has to be done, if no-one wants them)."
"31.10.2012, 11:44",gmaguire,Free Sofa & Foot stool,"Hi guys I am leaving Switzerland in 2 weeks and I am looking to offload a sofa and footstool. Both are in good conditions and both are available now
Please PM me if interested"
"28.10.2012, 16:47",jules,Free:Only Fools and Horses complete series VHS,"Hi,
Anyone interested in the complete series of Only Fools and Horses. They are on vhs. Can't bring myself to threw them away. I would love to see them go to a good home I spent years collecting and I love the series!"
"22.10.2012, 20:01",loulou44,IKEA COT+bed linnen FREE (ZH),"hello All,
I would like to give away my sons IKEA cot 
Length: 123 cm 
Width: 66 cm 
Height: 80 cm 
colour: white
There is a mattress (IKEA) and duvet that go with it. I am also adding three blankets (fit the mattress) and three duvet covers.
Pick up is in Adliswil. 
thanks
LL"
"09.09.2012, 09:52",LilyLoo,Wanted: Your pre-loved Christmas Decorations :),"I know some of you will hate this thread so im sorry but I'm a huge Christmas fan and already excited about it!! (I've been listening to all my Christmas music already!!!) 
So it's the first year for myself and boyfriend in our own little apartment and I'm crazy excited about being able to deck the place out like Christmas threw up everywhere! But I noticed last just how expensive decorations are over here...  does anybody know of where they can be bought cheap enough?? Like some little store hidden in some part of somewhere?! 
Or even if anybody is wanting to offload some decorations I'd be happy to give them a good home, they'll be extremely well taken care of! 
Again I apologise to all the bah humbugs for mentioning the dreaded day!  x"
"16.10.2012, 10:39",elainemay,[Free] Box spring and bed frame [Zurich],"I have a US queen/UK king size box spring and accompanying basic metal bed frame that I'd like to give away. Please note that this is a US-style box spring, which means it goes underneath a mattress to provide support and stability (i.e. you don't need a lattenrost/wooden slats thingy). It is not a mattress.
The box spring is a Sealy Posturepedic that fits a US queen mattress or a UK king mattress.  It is about 153 cm x 200 cm, which means it might also work with a European 160 cm x 200 cm mattress with a couple of centimeters of overhang on each side. Info on mattress sizes
The bed frame is a standard metal one that adjusts in width and is designed to hold a box spring. It dissembles into two pieces that fold up. It's not a lattenrost- you can't put a mattress in it without a box spring underneath.
Both are in great condition- we used them for about a year before getting a new bed frame that doesn't require a box spring. There are some small scuffs on the box spring from being moved, but it's otherwise clean and in good condition, no stains, odors, or tears.
Please please please, I hope someone can use these items- I hate to take large items in good condition to the dump, and the Brockenhaus doesn't want them because they don't know what a box spring is  I can't deliver, but I will happily help you move them to your vehicle!
Here are some pictures. Yep, it looks like a big rectangle. Pardon the dark areas- those are just shadows and bad phone pic artifacts.  The actual thing is clean and uniform in color. The bed frame is currently in the attic and folded up, but I'm including a picture of a similar one."
"30.10.2012, 10:37",apple123,"Free - Philips TV 21"" [ZH]","Philips TV 21"" - pick it up for free in Zurich.
Image attached"
"08.09.2012, 10:19",limamichelle,Free Furniture,"I moved, and took my furniture with me, unfortunately, I didn't know how to put it back together again and lost some bolts in the process i don't know how to get replaced. if anyone knows where to get spare bolts you are welcome to them all!
I have:
One Black 3 sliding mirror door cupboard (some missing plastic sliders for two doors)
One Wooden Sofa
Happy System Air/Foam single bed (only one Circle knot missing)
One Dining table with 2 Chairs.
Pictures will Come soon, Or you can come over to Stettbach to see."
"28.10.2012, 14:26",muffin,"[Conditionally Free]HP Printer-Good condition (scan, color/BW print, copy)-Lausanne","HP C5180 Photosmart for Free. 
-dimension in inches: (WxLxH) 11.97"" x 17.60"" x 9.10""; or 44.6 cm x 38.7 cm x 18.9 cm ...
-perfect in the functions of scanning, color/B&W printing and copying 
-photo printing quality is not too ideal.  Printed image is clear but overall color is a bit dull. Sometimes the photo tray is not functioning well and need manual adjustment.
For those who is interested, I expect he will also take my current stock of corresponding cartilages HP363 (all in original sealed package). I hope you agree that it's a reasonable request to make.
-Magneta x 7 pieces @10 = 70CHF
-Light Cyan x6 pieces @10 = 60CHF
- Yellow x 2 pieces @10 = 20CHF
Total is 150CHF 
(note : at market, each cartilage costs @15.95CHF; the current cartilages (6 individual colors) inside the printer would be free with the printer)
Please PM me if you're interested."
"25.10.2012, 14:23",Lou,Wanted: Oral B Electric Toothbrush Charger,Does anyone have an Oral B toothbrush charger they no longer use? I need one for my kids toothbrushes and can't seem to find somewhere to buy just the charger.
"22.10.2012, 21:55",kxandra,Freezer (Basel),"Plenty of space. Working very well. We also had it for free and painted the door (it got a yellowish color because former owner placed it in a balcony) Inside everything works and looks fine as you may appreciate on the pictures. 
PM us if interested. 
Kx'"
"27.10.2012, 13:52",branston,Free. Drawer Freezer.,Can anyone make use of this Freezer it is in full working order so it seems a shame to throw it away! All you would need to do is pick it up
"06.09.2012, 21:14",jbd,Free bed 200 x 160 [Zürich],"Free bed ikea SULTAN STUREFORS, the biggest size, 200 x 160.
To pick up near Idaplatz / Albisriederplatz. Possible this weekend 8th/9th.
It's a bed that doesn't require mattress, I use just a very thin sheet / übermatraze.
As you can see on the pic there are some stains, and one foot is slightly moving."
"25.10.2012, 11:22",Jules75,"Free in Langnau am Albis, 5-door Moebel Pfister Wardrobe","Hi,
My lovely Moebel Pfister wardrobe is going free if you can pick it up before 1st Nomember ... Or better this weekend! I need to get rid of it urgently but the Brockenhaus can't come until 1st November so I would be very glad if someone can take it before then. My carpenter is available Monday and he reckons it would take an hour to disassemble ... He could also probably transport it and rebuild. I think he charges 90 chf per hour.  There is slight damage to one end, on the left, but this would be hidden if it can be placed in a corner.  Please come and have a look if you are interested.  I'm also selling the bed frame, chest of drawers and bedside tables for 600 chf (but you don't necessarily have to take these with the wardrobe).http://m.flickr.com/#/photos/88211492@N06/
Thanks, Jules"
"21.10.2012, 22:51",valiant,[Free] Computer table and Two chairs - Immediate pick up in Adliswil,"Two chairs and a small IKEA computer table , very good condition, available for free pick up at adliswil Zurich immediately.
please find the pictures attached. 
Thanks for looking."
"27.10.2012, 11:55",highrotation,"Free tix to the Youngblood Brass Band @ Kaufleuten, ZH 31.10.12","Hey there,
I've got some free tix to free tix to the Youngblood Brass Band @ Kaufleuten, ZH, Wednesday 31.10.12 if anyone wants them? PM me if you are interested!How does this work?"
"22.10.2012, 22:36",lucy_sg,[Zurich] For free: IKEA LOGGA hanger,"I am giving away an IKEA LOGGA hanger with 3 metallic knobs still on its original packing. It has a width of app 40 cm
Please PM me for more details. 
Pick up is in Zurich (Seefeld). Alternatively, I can meet with you in the HB or close to the airport.
Please PM me for more details"
"22.10.2012, 22:26",lucy_sg,[Zurich] for free: faux fur animal print pillows,"I am giving away 3 faux fur animal print pillows. They were barely used and have been sitting in the cellar. 
Pick up is in Zurich (Seefeld). Alternatively, I can meet with you in the HB or close to the airport.
Please PM me for more details"
"24.10.2012, 13:16",basel2010,Sofa Available for free - Basel,Large Sofa Available for free
"08.10.2012, 13:21",SwissMs2000,Free Migros Dinosaurs (Kt. ZG),"I have tons of doubles from this Dinosaur promotion. Maybe someone could use them? Just dont ask for specific ones, cause I not going through the whole lot. 
Pick up in Cham, Kt. Zug."
"24.10.2012, 14:32",A.J.,FREE - Dunstan Baby Language DVD Set (Basel),"Free    Dunstan Baby Language DVD set (two DVD's) 0-3 months. Praised by Oprah.
A great way to understand the way your infant communicates.
See websitehttp://www.dunstanbaby.com/
Giving away free so others can benefit from this great method of communicating with your new born. We used it with our baby and loved it.
DVD set was bought in Australia, so is in PAL format (may not work on stand alone DVD player) but will play in your computer DVD drive..no problem.
Pick up only..... 4059 Basel or 4102 Binningen.
PM me if interested."
"24.10.2012, 21:20",easygoing,free stuff for flea market,"I always go to the flea market and half of the incomes I spend for children in Africa. A lot of my friends were always happy when I came to pick up their old stuff. Like that they could get rid of it and at the same time they did a good thing.
I would almost get anything. 
The only restriction is that it is not too big because I don't have a car.
So usually 
* old clothes and shoes, belts, hats, ... (children or adults)
* old jewelry
* perfumes that you don't like anymore
* dvds, books in good conditions
* smaller electronics, old mobile phones
* cups or plates
* toys, chilren´s books
* sport equipments
* sunglasses ...
.... just anything that is not too heavy to carry around 
I get old stuff anywhere from Zurich city or close.
Feel free to just contact me via PM and I will come over or meet you somewhere to get the stuff
greetings"
