d, u, t, b
"05.01.2013, 13:24",everyday-a-new-dress,Free: Quality branded glass coffee table (non-Ikea) (Baden),"Free quality coffee table to give away (very good condition)
Pickup asap."
"08.01.2013, 13:56",sanku12,Wanted Luggage Luzern area,Anyone have an unused luggage (medium size) near Luzern area?
"06.01.2013, 16:52",Dejavu,FREE furniture ZURICH 8006,"Hi all and happy new 2013!
I'm giving away furniture + kitchen utensils, all in good condition, that I once myself got for free here, but no longer use. All items are dismantled and stored in the attic (5th floor); in the lack of an elevator, you'll have to carry that down yourself. The items include:
a) IKEA SULTAN 90x200cm BED + MATRESS
b) IKEA LEKSVIK WARDROBE
c) WOODEN GARDEN TABLE + CHAIRS (probably IKEA too)
d) PLATES, CUPS, CUTLERY
Items can be picked at any time on 12-13 Jan (Sat-Sun) 2013 from Zurich 8006 (closeby Schaffhauserplatz), or during evenings upon special arrangement. 
Please PM to reserve. Make sure you have a reasonable means of transportation (reserving & cancelling at last minute due to lack of transportation is certainly not welcome. Speaking from experience)
Cheers,
Dejavu"
"07.01.2013, 20:06",mverma,Free stuff,"Hello all,
Please find attached pictures.
All items are free.
Pick up from Oerlikon.
Cheers"
"07.01.2013, 19:51",mverma,Free stuff [Oerlikon],"Hello all,
Please find attached pictures.
Pick up from oerlikon.
cheers"
"17.12.2012, 10:53",kri,Small old type TV for free - pick up Zurich Wiedikon,"HI!
We have a small (about 40 cm across) TV to give away if anyone is interested
(Am not sure these can even still be used but before throwing it, I thought I would try offer it here)
Let me know by email and you can come pick up in Zurich Wiedikon 8055
K"
"12.12.2012, 12:44",BizzieBeeCH,Free: Ikea Blue Egg Chair for kids,"It's yours for free- pick up in Durbendorf area. Please PM me for address and to arrange pick up.http://www.ikea.com/us/en/images/pro...E169054_S4.jpg
Thanks,
BBCH"
"06.01.2013, 21:50",nanners,Free Panasonic DVD player in Zurich,"It was given to me by a colleague leaving Switzerland, but I never used it. In original box but is used. Pickup in Enge or if you are in ZH city area, I could deliver."
"06.01.2013, 16:10",chaynerose,Dresser/small cabinet for free (rotkreuz),"PM if interested 
Thanks"
"04.01.2013, 11:58",ggt06,Free furniture! - Zurich,"i am moving apartment this weekend and no longer need the furniture i bought earlier in the year. 
the furniture is in great condition, i just need to get rid of it asap as i can't keep it at my old place or take it to my new place.
1 x chair
1 x shelves 
1 x chest of drawers
pick up only from Uetlibergstrasse Zurich (8045), preferably this weekend (5-6/1/13). the chest of drawers is quite large and reasonably heavy, i am happy to help you carry it.
private message me if interested or for more info"
"28.12.2012, 12:12",MeMyselfandI,Wanted - Moving boxes - Winterthur,Please
"03.01.2013, 22:50",CLV,Luzern - Free CRT TV 28,"Approximate 28 CRT TV with remote seeking new home. Works fine.
Pickup on Maihofstrasse!"
"22.12.2012, 19:05",saba_san,two sofas for free (Zurich-Milchbuck),"I have two sofas (one 2 seater and one 3 seater) I'm giving away for free. They are a few years old but in good and working condition. You need to pick them up close to Milchbuck-zurich. I need it to be gone as soon as possible. 
I will attach pictures until tomorrow."
"24.11.2012, 10:29",ashi_queen,for free baby bath support,"I have baby bath support chair to give away anyone interested please collect asap.
I live in zurich zone 21."
"03.01.2013, 12:24",mansi,Free: ironing board & clothes rack (Zurich),"Free ironing board and clothes rack (both ikea, see pictures).
Pick-up in Zurich Altstetten."
"18.12.2012, 11:08",amerb,Free furniture in Zurich!,"Free Furniture for pick up in Zurich near ETH honggerberg- Affoltern side
Pick up times are tomorrow Dec 19:   9-11 AM  and 2-5 PM
All items must go before Friday Dec 21. 
Dining Room Table (180x90cm, folds in to 90x90 cm)http://www.ikea.com/us/en/catalog/products/50116809/
1 Futon (decently comfortable full bed)http://www.ikea.com/us/en/catalog/products/S49840091/
1 desk (glass top, two shelfing unit stands)
1 small couch (180 x 85cm) (natural color)http://www.ikea.com/us/en/catalog/products/S39871653/
1 coffee table (120 x 68 x 44cm)
1 Kitchen Butcher Block shelving unit (60 x 50 x 85 cm)http://www.ikea.com/us/en/catalog/products/70011793/
1 Bed (frame, with mattress supports and mattress)http://www.ikea.com/us/en/catalog/products/S19849804/
4 Basic Side Tableshttp://www.ikea.com/us/en/catalog/products/40104270/
1 Bureau (4 drawer)
            similar to http://www.ikea.com/us/en/catalog/products/20163755/
2 Under-bed Storage Drawershttp://www.ikea.com/us/en/catalog/products/20238223/
PM for details."
"03.01.2013, 17:09",MeMyselfandI,For free - Glass Baubles - Winterthur (8442),"Bag of red & gold glass baubles if anyone wants them...pick up only from Hettlingen, 8442."
"06.08.2010, 18:00",bookfans,NEED MICRO WAVE oven,Please let me know if any body want to give MICRO WAVE OVEN at free
"30.12.2012, 17:39",ragini18,Free CRT TV [ZH],"Hi,
I want to sell my television from M-electronics with remote,30 chf."
"03.01.2013, 09:13",sanku12,"Wanted 10.1"" tablet sleeve","Anyone has a unused sleeve for a samsung galaxy tab 10.1"" ? 
Shouldn't have to look good, as its just for transportation purpose, I can buy a new one once I reach back as the leather ones are pretty cheap in my country!
Thanks!"
"23.11.2012, 21:58",everyday-a-new-dress,Free quality white desk for pickup asap (Baden),"Quality white desk for free pick within this week 
Top is 8 shaped, size: 147cm (long)+77cm(wide)+70cm(high)"
"09.12.2012, 09:33",chaynerose,Corner sofa  - Free - Pickup Rotkreuz,"Hi
We are selling our sofa for 40 francs PM if someone interested
Thanks"
"26.12.2012, 13:44",vvvnaga,Calvin Klein - Winter Jacket for Women - Free,"Dear EFers,
This is a Calvin Klein Winter Jacket for women - Nice & Warm - Size XL - Bought in the US. Hardly Used - In Perfect Condition - What you see is what you get 
Pick up from Sood near Adliswil . 
Cheers"
"31.12.2012, 21:31",ziajek,WANTED-iron and iron board,"Hallo,
Ist there anyone who has spare iron and iron board in Luzern area?I Would be much appreciated.
M."
"22.12.2012, 09:58",saba_san,Free Tatami - Zurich,"Hi, 
I have a tatami (approx. 200cm long and 90cm wide) which I'm giving away for free. Its in good condition and not used for a few years..
you can pick it up in Schwamendigerplatz area. 
Saba"
"18.09.2012, 20:44",NewOneINseefeld,Please donate your old toys for poor and abandoned kids.,"Dear EF members and guests,
I would like to organize a charity project for children who are very poor, orphaned, abandoned, mentally handicapped and/or disabled, in Serbia.
I would like to collect your old (or new but never used) and not too big: toys, plush toys/animals, games, decorative items (for Xmas and Bdays), books, baby toys, kids and baby items, items for (pre)school, etc. - to give To as many of those kids as possible a 'second hand' Christmas/New Years presents. Their Christmas is on January 6/7th, and New Year is traditional - on December 31st.
I will organize the transportation of these presents to Serbia.
I contacted four organisations/institutions who have lots of children from the above groups. (Located in the eastern part of Serbia - Milosevac: 180 babies&kids, Stamnica: 50, Veliki Popovac: (?), Pomoc Romima-Branicevo: 1200).
As a follow-up I will send to all of you the information about the dates of transport, packing, meeting with children in every institution, and photos whenever I received them.
Please let me know if you have anything to give away but in return get back lots of smiles and thankful kids' hearts!
Thank you for reading this and helping me with this project.
Grateful,
Maya"
"27.12.2012, 10:26",drleblanc,Looking for Moving Boxes in Geneva,"We are looking for some good quality moving boxes and packing paper in the Geneva area to use in an upcoming move.  We can use all kinds, wardrobe, dish, book, portrait, etc.  If you have any, please let me know, best through a PM directly to me.  I can come pick them up in the area.  
Dan"
"28.12.2012, 10:16",208beaner,Christmas tree and Garland,"Artificial tree and garland. Free for pick up Maschwanden,ZH (near Knonau). 
Tree: 150cm tall
Garland : ~240cm long"
"21.11.2012, 12:40",Soleil,Wanted: donations in kind for homeless shelter in HU,"Dear All,
I collect donations in kind for a Homeless Shelter in Budapest, Hungary. We are in Allschwil, BL and I can collect within 20 minutes drive distance. 
We plan to drive to Hungary sometime next week and eventually again in an other 2-3 weeks.
I ask you to donate items which you don't use anymore or do not intend to donate to others.
The homeless shelter can use:clean, useable clothes, warm socks, jackets, sweaters, track suits winter shoes, boots, slippers (for shower) caps, scarves, gloves sleeping bags, covers, backpacks detergents working electrical items (microwave, computer, printer). Swiss plug is not a problem, I can deliver these smaller items but nothing bigger. medicine, bandage non-perishable food within their sell-by date, unopened 
There is an other foundation which provides shelter for families. They can use:children clothes (useable, clean, no torn clothes please) drawing, painting and any handcraft tools I am not sure if any pictures will be taken of the donations at dropping off but I will ask if there is a possibility.
It is a warm feeling to recognize some of our stuff in facebook anyway:http://tinyurl.com/c7aq8dh
(I am an SAP consultant and do not collect these for myself or my family).
Please pm me."
"25.12.2012, 10:33",Slaphead,3 Entsorgungs-Coupons 2012 - City of Zürich only,"A bit late in the year, but the GF has just found 3 x 100KG Entsorgungs Coupons that we're not going to use before they expire.
So, if anybody has any large stuff to throw away before the end of the year then send me a PM.Coupons valid only for the city of Zürich. Can post but time is tight. Pick up from Zürich HB probably the best and most preferable option from my point of view."
"16.01.2012, 14:05",rosrae,Wanted - Packing Boxes - Lausanne,"Hello,
If you happen to have some packing/moving boxes available for free I would be grateful if you would contact me by PM.
Many thanks."
"24.12.2012, 13:33",jmf,DLink Dir-600 wireless router,"Giving away a DLink Dir-600 wireless router. Perfect working condition, I just upgraded to a more powerful model.
Pick up in Brugg, AG. PM if interested."
"23.12.2012, 09:16",pawanjee,2 mattress(thin and 90*200)  and Single  ikea bed frame for free (Kloten),"Ikea : 2 mattress(thin and 90*200) for free
Good condition
Single(90*200)  ikea bed frame only : free
Please see attached double bed picture, single  bed is similar
Perfect condition
pick-up :Kloten"
"19.12.2012, 13:33",everyday-a-new-dress,Free clothese and etc (Baden),"Free for earliest pick-ups
Size: S-M"
"10.12.2012, 14:22",nahooge2,Free laundry basket and set of 4 plates,"Free laundry basket and set of 4 plates as pictured in this link:https://picasaweb.google.com/1055154...eat=directlink
Items can be picked up in Zurich Zone 10."
"19.12.2012, 13:17",appel_sini,[Free] 2x Train tickets Nuremberg to Zurich Dec 30,"Im giving away two tickets for the half-fare card from Nuremberg to Zurich on December 30. Departure from Nuremberg at 8:36 and arrival at 14:55 in Zurich, with one stop of 35min in Stuttgart. The date/time can be changed for a fee. 
Cheers,
Carmen"
"18.12.2012, 22:40",easygoing,free entry for hamam and gym zürich,"hi I have a bring a friend coupon.
it is very spontaneous but if anyone wants to join me tomorrow afternoon starting around 3:30 PM for a HAMAM and fitness session just let me know 
it is at the hamam münstergasse zürich I bet we even will have a lot of fun and relaxation 
just pm or email me"
"03.12.2012, 10:17",SwissMs2000,Free- Pick up in Cham (Kt. Zug),"I have the following things for free. Pick up in Cham.
Pax shoe shelf- fits in Pax wardrobe 100cmAttachment 54236
For a car seat- infant supports"
"17.12.2012, 14:27",bertram,"Free: Stroller, Highchair etc [Lausanne]","Hello
We are leaving Lausanne shortly and have the following which we are interested in giving away.
- Chicco stroller (pink)
- Ikea high chair
- Chicco booster seat (orange)
All are in good condition and are less than a year old.
Location: Lausanne"
"16.12.2012, 17:39",stephen_NE,"Free: Crockery, canton Zug","I have bought new crockery and am looking to get rid of the old stuff. Before it goes to the dump or to charity, I am offering it here for free in case anyone is interested.
There are:
7 large dinner plates (diameter 26 cm)
7 small plates (21 cm)
7 pasta or soup dishes (19 cm)
8 cereal bowls (16 cm)
Originally bought from Migros about 14 years ago and have been used daily, so there are some minor chips on one or two of the pieces. Mixture of blue and yellow.
Please PM me if interested. I will deliver for free within canton ZG."
"18.12.2012, 17:20",itsmejagan,Wanted: Free Vacuum - Zurich,"It seems lots of people are giving away Vacuum for free, but now i find most of them have been reserved or given away. 
If anyones interested in giving away old vacuum lying around, Please let me know.
Cheers.."

"17.12.2012, 15:53",bytheseaside,Conrad discount vouchers,"These were on the back of a receipt, hope EF'ers can make use of them:www.conrad.ch
Valid until 31.03.2013
Fr. 10.- off orders over Fr. 45.- Code 020222-MM
Fr. 20.- off orders over Fr. 120.- Code 020395-MM
ho ho ho"
"05.12.2012, 14:10",tesso,Glass table and 4 chairs in zurich Seebach,"Anyone need a glass dining room table 160x90 and 4 grey leather looking grey chairs,not in bad condition a little bit of glue on the underside of the glass. Will come away with a bit of patience. To be picked up in Zurich Seebach"
"15.12.2012, 09:53",pawanjee,Free dinning table with 4 chair,"Free dinning table with 4 chair.
Table condition is  very good.
Ikea(table+2chair)+conforma( 2chair)
pick-up: Kloten"
"15.12.2012, 10:08",pawanjee,Free carpet(200CM*300CM),"Free carpet(200CM*300CM) approx ( don't remember exact size) from conforma.
Good condition.
Kid carpet( 100*100):Good  condition: ikea
I will give you carpet cleaning foam.
pick-up: Kloten"
"14.12.2012, 15:35",ElggDK,For Free - Silvesterlauf Start Number - Female - Bülach,"Since my girl friend will not be able to participate in the Silvesterlauf in Zürich on this Sunday the 16th. (December 2012) I will be happy if someone will take over her start number.
I got it for free myself, so I will not ask for anything in return.
The number is for start at 16:35 in catagory 26 - more info here
All I ask of you, if you decide to take over the number, is your personal details and your commitment to pay 60 CHF if you fail to give back the chip after the race.
PM me if you are interested in order for us to arrange handover."
"01.12.2012, 13:50",atchieu,Extremely comfortable queen airbed,"Hello everyone, I am located near Limmatplatz in Zurich and I am moving. I need to get rid of an airbed. It is really the top of the line airbed that is actually more comfortable than my real mattress. PM me for an appointment to pick it up. I prefer to have someone pick it up on Wednesday night if possible and will give preference to those who can do it that day.
More info here: http://www.amazon.de/Luftbett-Intex-...365952&sr=8-32"
"12.12.2012, 19:41",klimek,"Black, leather-like sofabed is looking for a good home for Christmas:)","Nice black, leather-like sofabed, in good condition (only with small dent visible on photographs) is looking for a good home for Christmas
Dimensions: H77cm  W56cm L177cm
Dimensions when unfolded: H77cm W107 L177cm
Send us a PM if you'd like to see it.
Pick up: Baar, Zug"
"11.12.2012, 08:59",TonyBhoy,House bar for free!,"Hi folks
We are currently in the process of redeisgning our appartment and are selling our house bar
This is a very good quality hard wood bar with marble surface and built in light.
Due to the fact parts of it are really heavy, we are giving it away for free as you will need to arrange transport for it. (I transported it with my brother together, but it wasnt good for my back. If there are 3 people carrying it should be no problem).
Must be collected this week at some point
Here is a picture (attached)"
"19.09.2012, 21:01",gastrep,Free : US child seat,"GRACO child seat from US.
In good condition.
It is US approved, not EU approved.
Good for someone who have a plan to go back to US or to travel to US.
Pick up at 8006, Zurich.
Pick up between 5:30-7:30pm on weekdays preferred."
"14.12.2012, 09:39",tomek.super,Wanted: LonelyPlanet guide - Peru,"Dear EF members,
I'm looking for used Peru LonelyPlanet guide.
I'd be very happy to have that - if you of course don't need it anymore.
Thanks a lot in advance!
Tom"
"08.12.2012, 03:28",crazykittylady,[Free] Three Chairs in Altstetten [Zurich],"I have three chairs to give away as I'm moving.
They're comfy, great for studying, I just don't have the room in my new place. I'll be taking them to the dump when I move next weekend. If you want them, please pm me."
"10.12.2012, 19:41",nellie123,Office chair+Desk [ZURICH],"Giving away office chair and desk in Zurich area
Office chair from Micasa in black (with protective mat)
Dimensions: 65cm x 62cm x 107cm
Picture: http://imageshack.us/photo/my-images/263/donchair.png/
Desk from IKEA 'VIKA AMON' Brown/Blackish color with silver/grey legs
Dimensions:
B:120 cm
D:60 cm
H:73 cm
As per the picture (legs silver/greyish though): http://imageshack.us/photo/my-images...rrybord00.jpg/
Pick up in Zurich
PM me for reservations or questions."
"01.05.2012, 20:37",tanyarama,Free trundle bed Adliswil,"I have a trundle bed to be picked up in Adliswil, it only comes with one mattress, a proper spring coil standard single, Ideal for a guest room as the mattress underneath pops up to be level with the top one, making it into a double. See photo.
Thanks 
Tanya"
"08.12.2012, 09:29",Chippers,"Free 2-door Wardrobe+bedsides, Aesch BL","Maple effect, movable shelves, all parts, disassembled. 
Single: 100cm W x 60cm D x 212cm H.
Two matching bedside tables, assembled.
Reserve by PM before 2pm today, otherwise they go to the skip... collect when convenient."
"08.12.2012, 13:25",globe109,Free couch and cabinet (?) in Zürich Seefeld + some other stuff ALL FREE,"So it's time for me to leave Switzerland. 
And I have some stuff I need to get rid off, having a bit of time pressure i'm willing to let them go for free. Pickup is possible today (8.12) or tomorrow. First come first serve!
First thing is an IKEA couch:http://imgur.com/MCXd8,vuAB2
I think it costs like 1100 CHF new and I had it for like 9 months. 
Second thing is something I believe is called a cabinet, it looks like this:http://imgur.com/MCXd8,vuAB2#1
Important: I live on the 5th floor and I'm not sure the stuff fits in the elevator. Also, I'm not able to help with transportation but I will of course help to carry the stuff down to the ground floor. 
Additional stuff which I need to get rid off:22"" flat screen computer monitor, it's samsung or something like this, i believe the resolution is either 1920x1080 or 1600x1050. Microwave oven Ironing board, it has some stains but it is really good Other random stuff Ikea bed (pickup possible on monday!) Outdoor furniture, a couple of chairs and tables, cheap stuff ps2 + some games I have some other items as well, will try to upload picture here as I go through it.
Please send me a PM if you are interested."
"11.12.2012, 13:49",ntwrkconsult,Books,"I have too many books, mostly in English (those in German I would prefer to keep). Amongst which are novels, cook books, random text books (social sciences, politics, mostly)... 
if anyone could use them for a school or something similar, let me know."
"06.12.2012, 16:27",Atomic,Weight lifting belt free [Zurich],"Black, leather weight lifting belt.  Used maybe handful of times. 
I realized that I will not be lifting heavy weights and that I will likely not use it in the future.  
Pick up Zurich, 8001."
"11.12.2012, 13:06",breagh,Wanted. Wireless routers,"Any old Internet provided Wireless routers lying around.
Please let me know.
Thanks."
"09.12.2012, 17:14",pawanjee,Free slide door Wardrobe,"Free : slide door Wardrobe(perfect condition). must pick-up until 12.12.12.
Please see picture.
Pick-up: Kloten, Zum wilden Mann"
"06.12.2012, 10:16",megsy,Free cabinet and futon topper,"Hello 
I have a cabinet and a futon topper (the futon base is also available if anyone wants to try and fix it/use it for fire wood).
I will attach pictures now.
The shelves for the cupboard are the pieces on top as well as inside, it's on its side as it was too for our loft storage
Free and available to pick up as soon as possible, we live in Adliswil. I can help you carry it to the car no problem. It's the ""standard"" IKEA height but can give you height info if needed.
Many thanks
Megan"
"04.12.2012, 22:51",Atomic,Free bicycle pedals and cateye speedo [Zurich],"I have couple of bike parts I am no longer using so figured I would let them go to a good home.  
I have a set of pedals, they came with one of my bikes, but I use clips, so haven't used them even once.
I also have a Cateye speedo. Its been used for a couple of years, but still work fine.  I only have the main unit as my bike was stolen with wheel magnet.  You can order all of the spare part for like $20."
"09.12.2012, 23:43",cess,(Zurich) Free Entsorgungscoupons 2012,"Hello Everyone,
 I have 4 Entsorgungscoupons 2012 available if anyone wants them. I can drop them off at the HB during weekdays around 6.
PM me.
thanks
cess"
"30.11.2012, 10:58",Natalia0303,Wanted: Free vacuum for us too!,There seems to be a lot of people looking for a free vacuum..and we are joining the list. Our vacuum died a few days ago and we are desperate for a new one but since its just before xmas we cant afford to buy one. If anyone has an old one lying around let us know  Thanks!
"27.11.2012, 16:53",Atomic,Wanted: moving boxes (Zurich),"Hello,
Staring to plan my move and looking for moving boxes.  
Does anyone have any moving boxes in good shape (around Zurich) they no longer need?  
Thank you,
Alex"
"09.12.2012, 15:43",swissgirl32,Free Bedside Table,"As some of you may have seen, I need to sell my furniture ASAP. But some of it just isn't worth selling: 
For example, this secondhand bedside table. Please see photo.
Please accept!"
"24.11.2012, 12:03",Cybersuz,Now FREE - Original Oil Painting in frame (Adliswil),"Hi all,
We have a lovely oil panting for sale.  Alpine scene with waterfall.
102cm x 72cm (incl frame)Price 50chf
To be collected from Adliswil."
"13.09.2012, 10:34",mojado,"( now FREE ) Small dishwasher, Basel","Small used dishwasher with 6 standard place settings
Model: Electrolux Daily4Two ESF 2410 
Original price: 399 CHF  
Asking price: 40 CHF
Years of usage: 2 approx.
Size: 44.7/54.8/48 cm
Remarks:
Self standing, doesn't require installation, fits everywhere
3 washing programs
To be picked up in Basel
Reason to sell it: Bought a bigger one because the family grew up. The appliance works perfectly fine."
"26.10.2012, 17:45",doka1,moving boxes,anybody interested?
"08.12.2012, 13:06",loboking,2 Billy Bookcases to go,"2 units of Billy bookshelves with doors in oak veneer 
1st unit: 202cm(H) x 80cm(W) x 28cm(D) http://www.ikea.com/ch/de/catalog/pr...38/#/S29885938
The link above is in birch veneer but we paid extra to get it in oak veneer.
2nd unit: 202cm(H) x 40cm(W) x 28cm(D)
(same as above but half the width)
Items have to be picked up by 12 Dec."
"06.12.2012, 14:14",vvvnaga,Wanted : Entsorgungscoupons,Wanted to check if someone has these coupons unused- Just one would be enough
"06.12.2012, 13:07",Discipulo,Snowboard Bag,"Snowboard Bag with both shoulder strap and double strap for backpack.
Fits up to a 166 board with bindings.
Free, pick up in Wipkingen."
"06.12.2012, 13:56",nanners,Two Ikea kids wicker armchairs in Zurich Enge,"Good condition
Link to photo: http://www.ikea.com/us/en/catalog/products/50058376/
Also have a small kids table -- white, rectangular, also from Ikea. It's been ""used"" and not in perfect condition, but functional for drawing, painting, etc.
Please send a PM."
"05.12.2012, 21:06",Phillip8134,[For free] Baby bjorn carrier blue (Adliswil),"Several years old, still in working condition but no longer new,  hence reflected in a bargain sale price of CHF10.  First come first serve."
"05.12.2012, 17:21",clive7,Wanted: Weather Station,"Simple weather station for use in Switzerland. Temperature measurement inside and outside, weather forecast. Will pay postage within Switzerland if necessary."
"04.12.2012, 22:40",Atomic,Free Grill used once [Zurich],"Free grill to a good home.  
I got this grill when I moved to Zurich couple of years ago, and had a chance to use it once.  Its been sitting in my basement since, and I figured I should let someone else enjoy it.  
I got it from Jumbo, for 60 CHF or so, and it looks something like thishttp://www.obi.de/decom/product/Kuge..._95_cm/1163369
Pick up from Zurich Niederdorf."
"26.11.2012, 15:24",Lucky144,Now FREE [Zurich] Ikea Bedcouch Exarby 3-seater,"Check out the Ikea site for the pics. This one is used, ask 50chf. Ready for pickup; is dismounted already. Kreis 7 Zurich neighbourhood Zoo.http://www.ikea.com/ch/de/catalog/products/S89887294/"
"02.12.2012, 09:37",njusta83,Coupons for ZH 'bulky items' Recyclingplaces,"no idea how you call it in English Entsorgungscoupons, I still have all four of them for 2012, giving them away for free so if you need to get rid of something large/bulky at either Hagenholz or Werdhoelzli you can use them so you dont have to pay too much. Each coupon for 100kg. max value 30Fr per coupon. Valid until 31.12.2012"
"29.11.2012, 18:01",Riana22,WANTED: Free Vacuum Cleaner,"Hello everyone,
If any of you has a vacuum cleaner in very good condition that you'd like to give away - or know someone in the same position, please send me a PM.
Thank you in advance."
"27.11.2012, 19:40",nellie123,Various things for free [ZURICH],"2 Hanging lampshttp://imageshack.us/a/img339/2540/lampf.jpg
2 Folding chairshttp://imageshack.us/a/img820/4199/fchair2.jpghttp://imageshack.us/a/img7/9272/fchair1.jpg
1 Shelving unithttp://imageshack.us/a/img688/8534/reol1.jpg
Please PM for questions and reservations."
"21.11.2012, 19:26",Euro_lover,Free wardrobe!  Zurich area - Pick up asap please,"Hi, we purchased this from the houses' previous tenant and instead found a different wardrobe solution. It is is very good condition, lots of interior space and shelving.The ""fine print"":You will need to come pick it up (Erlenbach) You'll need to carry it out of the house (will take 2-3 people to disassemble and remove) Ideally, we would like the new owners to get it this Saturday or Sunday! Thanks! Please PM me."
"27.10.2012, 18:44",Jnk,Free Kinder bed,"Hi All,
I have an old  kinder bed 60x120 to give away for free. It has 20 kg weight.
The pick up should be from 8603 Schwerzenbach (Zone 21, Zurich).Please let me know if anyone is interested..."
"29.11.2012, 21:01",VocalID,2nd class train tickets Liestal-Basel-Strasbourg-Airport CDG (TGV) 07.12.12,"Non refundable, my flight got rescheduled, paid 80.-
Liestal - Basel (only valid with international train ticket)
valid 7.12.12 - 6.1.13
Basel - Strasbourg
Train 96210 - dep. 7:12, arr. 8:39
Strasbourg - Paris Charles De Gaulle Airport TGV
Train 5422 TGV, window seat - dep. 09:01, arr. 11:32
PM if interested"
"14.10.2012, 13:40",Can2011,Free Couch and Dining Table to give away-Basel,"Hi, we have a three-seat brown couch, a two-seat blue IKEA sofa and a dining table with 4 chairs to give away in Basel.. Items need to be picked up by Oct 17. Below you can find the photos.
Let me know if you are interested.
Can"
"29.11.2012, 13:23",slapacka,"Vacuum, iron, and iron board","Vacuum (red, dirt devil, one year-old, 200 CHF new), iron, and iron board.  Must pick up in Inwil in the next couple days.  First come, first serve.  Please PM if interested."
"29.11.2012, 12:37",ianigm,IKEA wall stand,"See attached picture. Located in Basel near Bad BF. Anyone can take this off our hands for a bottle of red/white/or some beer.
Let me know.
Ian"
"28.11.2012, 18:19",ashi_queen,for free vacuum cleaner,Hi all i have trisa vacuum cleaner to give away by tomorrow morning anyone interested please collect or i will dump it.
"28.11.2012, 10:07",mimuta,WEBcam A4Tech for free,"webcam a4tech pk336mb, head hold not good, but hope you can do something with this. Urdorf"
"27.11.2012, 17:36",everyday-a-new-dress,Free clothes hangers (Baden),Around 30 simple clothes hangers (iron) for pickup.
"27.11.2012, 21:22",paulbarry2003,Free LCD TV Wall Mount & Pendant Lamp,"Hi everyone - Digging out what is left in my place to give away and this is what's left...
1 Vogels LCD Plasma Remote Control Electronic Wall Mount (Cost c. 300 bucks) - Pics attached
2 A TIDIG Pendant Lamp from Ikea never been used beforehttp://www.ikea.com/sg/en/catalog/products/20160766/
Needs to be collected tomorrow evening (Wed) or even tonight (Tuesday)....
Cheers
Paul"
"23.11.2012, 11:39",Kepete17,Free: Chair and a half in Zug area,"Free  Broyhill Chair and a half for pick up in Cham by 29 Nov.  Its very comfortable  and no stains, but the cushion has come apart from the back and could be  sewn. 107cm wide by 97cm deep."
"27.11.2012, 19:43",aimar10,Free Desk - Bern,"Hi!
I´m giving away a desk in pretty good condition.
I´ve just moved and the desk was already in the apartment.
You can check the photos in attach. The desk has a small light (good enough).
The drawer it´s unassembled. It can be put in the desk in any position as the desk as several positions.
Just say something if you´re interested.
Cheers,
Pedro"
"27.11.2012, 16:25",everyday-a-new-dress,Free laundry basket (Baden),"Free laundry basket.
First come, first get.
Please click thank-you"
"27.11.2012, 15:50",Bindu,Wanted : Zurich Free wardrobes/outdoor cupboards,"I am planning to put in a wardrobe in our storage room, hence not looking for anything fancy. Just a place where all the stuff in the basement can go in and be better organized.
Anybody looking to get rid of a garden cupboard to store brooms, cleaning items etc, pls PM me"
"21.11.2012, 16:56",Hrishosh,Elegant and strong wardrobe for free - needs to be dismantled and taken by 26th Nov,"http://movingsale11nov2012.shutterfly.com/pictures/60
It has 5 doors of which 2 have mirrors and 1 door in the middle is missing
I have an ikea tool box with which I dismantled and installed the wardrobe along with my partner."
"24.05.2012, 20:33",everyday-a-new-dress,Free in Baden,"We are giving away below stuff for free.
1. A Mattress top, pretty thick. We used it as a mattress (for two people)
2. Pillows
3. Some plates, bowls and etc.
4. A flarke computer table (new but could't find the screws)
5. A cabinet under the washing basin.
Early pickup is preferred choice.
Address is Haselstrasse 19b, Baden"
"20.11.2012, 10:42",slice19,Moving Boxes - Basel,"I just moved to Klein Basel and have about 30 moving boxes. These are professional boxes from a moving company, very heavy duty cardboard in 2 sizes. All are currently folded flat. From experience, I know you can fit about 15 of them easily in a VW Golf. They are free to anyone who can pick them up by Friday of this week. Please send me a PM and let me know how many you want so we can agree on a pickup time. If you are interested, I also have all the paper which was used to wrap glasses and such.
Everything is clean and has only been used once. We used these same boxes in a prior move and later lent them out on 3 seperate occasions so I am confident there is plenty of life left in them and would hate to dump them straight away."
"19.11.2012, 20:27",slapacka,"Dressors, Storage Unit, T.V. Stand, Bed, Lamp, Hamper","PICTURE 1 - 1 white cubical storage unit with eight red boxes.  Please note this  item has the paint peeled on the left-hand side, as my daughter removed a  decal that used to be there.  However, if placed strategically, it is  not noticeable.  
PICTURE 2 - 1 red and white small dresser with four shelves.  This can be used for clothes, storage, or a T.V. stand.
PICTURE 3 - 1 white and red bed with mattress.  This bed is a child's bed and would be best suited for a child between 2-8 years-old.  
Also in PICTURE 3...1 red and white side table with two shelves (matches the dresser in picture #2) and 1 white table lamp.
PICTURE 4 - 1 red mesh hamper.
Must be picked up in Merlischachen (10 minutes from Luzern) by November 25th.  Please PM if   interested.  First come, first serve.  Thanks!"
